,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
36734,Kristan Clever,I-Women,26,1,143,1,102,10,540,1,270,1,145,13
46243,Julie Foucher,I-Women,37,2,135,8,100,15,531,3,261,8,154,3
18588,Annie Thorisdottir,I-Women,107,3,128,43,109,1,519,5,256,51,147,7
4925,Emily Bridgers,I-Women,115,4,133,20,94,58,534,2,260,12,138,23
8404,Camille Leblanc-Bazinet,I-Women,116,5,125,73,99,17,466,21,264,4,173,1
34182,Andrea Ager,I-Women,140,6,141,2,96,35,503,7,257,37,129,59
3407,Michele Letendre,I-Women,206,7,132,29,94,58,423,88,266,2,136,29
19412,Ashley Carriveau,I-Women,250,8,125,73,92,95,459,31,258,28,138,23
45124,Cameron Williams,I-Women,265,9,122,139,106,4,447,41,261,8,127,73
8342,Elyse Umeda,I-Women,297,10,125,73,92,95,447,41,256,51,134,37
15603,Madelyn Curley,I-Women,331,11,135,8,90,159,443,47,255,69,131,48
13372,Michelle Crawford,I-Women,347,12,126,64,90,159,466,21,255,69,135,34
14093,Deborah Cordner Carson,I-Women,358,13,119,242,98,19,461,25,259,18,130,54
8741,Angie Pye,I-Women,368,14,119,242,98,19,493,9,259,18,126,80
9121,Christy Phillips,I-Women,405,15,122,139,90,159,461,25,258,28,130,54
12336,Kelley Jackson,I-Women,413,16,129,41,90,159,462,24,251,173,142,16
11279,Talayna Fortunato,I-Women,422,17,118,279,93,73,459,31,257,37,160,2
8015,Rebecca Voigt,I-Women,430,18,123,105,95,44,455,36,264,4,116,241
28886,Emily Friedman,I-Women,435,19,127,56,90,159,438,53,259,18,120,149
9759,Cheryl nasso,I-Women,441,20,134,14,90,159,439,52,253,105,123,111
55121,Katrin Tanja Davidsdottir,I-Women,451,21,128,43,91,114,485,11,253,105,119,178
3217,Jenn Jones,I-Women,458,22,117,328,97,25,478,14,257,37,130,54
28918,Jenny Davis,I-Women,478,23,120,198,95,44,427,79,252,138,141,19
36776,Colleen Maher,I-Women,488,24,120,198,97,25,413,122,252,138,151,5
11006,Kelly Steadman,I-Women,497,25,122,139,90,159,416,117,260,12,128,70
7287,Amy Dracup,I-Women,498,26,128,43,91,114,382,310,261,8,138,23
42123,Laurie Galassi,I-Women,500,27,118,279,91,114,458,35,256,51,139,21
16173,Jessica Coughlan,I-Women,511,28,122,139,90,159,408,135,257,37,133,41
11215,Kaleena Ladeairous,I-Women,513,29,120,198,97,25,461,25,255,69,118,196
30192,Lindsey Valenzuela,I-Women,522,30,120,198,108,2,403,159,258,28,121,135
10614,Whitney Heuser,I-Women,543,31,123,105,92,95,435,56,252,138,120,149
52940,Lindsey Smith,I-Women,545,32,118,279,101,12,437,54,256,51,120,149
38474,Ashleigh Moe,I-Women,567,33,117,328,91,114,479,13,253,105,147,7
9184,Janet Black,I-Women,573,34,122,139,90,159,442,48,251,173,130,54
45940,Jennifer Butler,I-Women,574,35,132,29,90,159,428,74,249,253,129,59
24883,Natalie McLain,I-Women,585,36,132,29,87,465,452,37,256,51,154,3
49672,Lindsay Bourdon,I-Women,590,37,133,20,86,511,461,25,258,28,148,6
51106,Tiffany Hendrickson,I-Women,592,38,118,279,90,159,460,30,253,105,141,19
13383,Gretchen Kittelberger,I-Women,596,39,122,139,95,44,406,141,251,173,124,99
45179,Alicia Connors,I-Women,614,40,118,279,90,159,498,8,255,69,124,99
36285,Sarabeth Phillips,I-Women,620,41,121,165,93,73,379,337,259,18,137,27
20774,britney holmberg,I-Women,621,42,122,139,92,95,463,23,249,253,123,111
3991,Lauren Brooks,I-Women,656,43,120,198,91,114,488,10,248,320,144,14
36699,Becky Conzelman,I-Women,656,43,128,43,90,159,376,358,257,37,129,59
7747,Azadeh Boroumand,I-Women,657,45,115,467,95,44,467,18,262,7,122,121
25528,Ruth Anderson Horrell,I-Women,661,46,116,387,90,159,447,41,257,37,134,37
17869,Allison Truscheit,I-Women,669,47,118,279,91,114,400,173,255,69,135,34
4377,Melissa Jamerino,I-Women,675,48,126,64,89,394,399,177,265,3,134,37
21087,Amanda Allen,I-Women,682,49,117,328,96,35,413,122,253,105,125,92
5288,Ginny King,I-Women,685,50,120,198,90,159,407,138,255,69,122,121
8263,Megan John,I-Women,742,51,135,8,90,159,468,17,246,459,124,99
14149,Jenny LaBaw,I-Women,743,52,122,139,91,114,442,48,247,405,134,37
50601,Valerie Voboril,I-Women,772,53,133,20,85,570,452,37,252,138,147,7
11460,Candice Ruiz,I-Women,781,54,122,139,91,114,396,191,255,69,115,268
35645,Shelly Sourdis,I-Women,782,55,130,35,87,465,405,146,254,88,131,48
14832,Amanda Schwartz,I-Women,787,56,127,56,85,570,447,41,258,28,125,92
39890,Larissa Costa,I-Women,801,57,134,14,88,426,392,219,254,88,130,54
5785,Brista Mayfield,I-Women,819,58,116,387,91,114,459,31,252,138,120,149
27855,Lauren Plumey,I-Women,819,58,118,279,90,159,411,127,253,105,120,149
11046,Tracy Shuford,I-Women,824,60,123,105,88,426,435,56,254,88,120,149
20612,rachel martinez,I-Women,826,61,130,35,88,426,526,4,248,320,133,41
13713,Chelsea Miller,I-Women,830,62,123,105,90,159,374,388,253,105,127,73
6109,Michelle Kinney,I-Women,851,63,113,608,91,114,440,51,257,37,133,41
5512,Stacie Tovar,I-Women,865,64,113,608,93,73,430,67,257,37,126,80
26956,Melissa Dixon,I-Women,874,65,125,73,90,159,377,350,256,51,116,241
23907,Kendall Burnham,I-Women,916,66,120,198,91,114,374,388,253,105,123,111
2326,Emma Keen,I-Women,917,67,128,43,90,159,467,18,244,651,132,46
40822,Alicia Gomes,I-Women,935,68,120,198,93,73,383,303,248,320,133,41
18901,Stacey Magnesio,I-Women,947,69,122,139,90,159,407,138,250,209,114,302
31569,Linsey Kokal,I-Women,969,70,118,279,91,114,401,169,253,105,114,302
36435,kylee claxton,I-Women,976,71,116,387,90,159,417,114,252,138,119,178
25678,Annie Sakamoto,I-Women,977,72,135,8,82,743,397,187,259,18,139,21
19501,Thuridur Erla Helgadottir,I-Women,992,73,133,20,82,743,450,39,260,12,119,178
30824,Hjördís Óskarsdóttir,I-Women,992,73,127,56,87,465,380,324,260,12,121,135
6703,Emily Pale,I-Women,995,75,120,198,96,35,419,104,254,88,108,570
4887,Krista Owens,I-Women,995,75,118,279,94,58,423,88,246,459,123,111
14319,Emmalee Moore,I-Women,1025,77,112,702,91,114,410,132,259,18,129,59
2942,Kara Gordon,I-Women,1039,78,123,105,83,680,412,125,259,18,123,111
7134,Sarah Pierce,I-Women,1045,79,111,833,94,58,429,69,257,37,131,48
17993,Valerie Calhoun,I-Women,1045,79,123,105,88,426,417,114,248,320,126,80
2687,Jessica Core,I-Women,1057,81,120,198,88,426,394,207,253,105,122,121
8719,Jennie McKernan,I-Women,1058,82,118,279,90,159,408,135,247,405,126,80
11384,Tosha Jeffries,I-Women,1064,83,122,139,91,114,363,481,250,209,122,121
13852,Jaime Noyce,I-Women,1074,84,118,279,90,159,420,98,253,105,111,433
22698,Anne Austad,I-Women,1078,85,122,139,86,511,389,239,251,173,142,16
9258,Kelley Hennigan,I-Women,1101,86,117,328,90,159,425,85,246,459,128,70
54323,Keysha Benzing,I-Women,1101,86,114,540,93,73,388,248,253,105,121,135
44316,amy Bright,I-Women,1105,88,117,328,90,159,478,14,245,545,129,59
8770,Cheryl Brost,I-Women,1105,88,124,92,86,511,429,69,254,88,113,345
51922,Alexandra Bergeron,I-Women,1126,90,116,387,86,511,419,104,256,51,127,73
4961,Paige Millspaugh,I-Women,1132,91,124,92,86,511,428,74,248,320,121,135
12303,Whitney Welsch,I-Women,1133,92,115,467,90,159,396,191,252,138,119,178
7965,Elisabeth Akinwale,I-Women,1144,93,112,702,91,114,447,41,249,253,135,34
11212,Megan Norris,I-Women,1161,94,115,467,92,95,405,146,247,405,131,48
7290,Martina Barbaro,I-Women,1166,95,121,165,87,465,467,18,246,459,129,59
9684,Jessica Stephen,I-Women,1167,96,121,165,90,159,360,506,255,69,115,268
52053,Jasmine dever,I-Women,1169,97,110,963,105,5,405,146,258,28,137,27
64862,Rebecca Eastwell,I-Women,1194,98,123,105,86,511,387,259,256,51,115,268
4982,Courtney Butowicz,I-Women,1201,99,121,165,90,159,398,183,245,545,120,149
46644,Christina Merlo,I-Women,1211,100,117,328,91,114,432,61,252,138,108,570
10394,Amanda DeRosa,I-Women,1216,101,121,165,86,511,404,152,249,253,121,135
9808,Erin Riddell Carter,I-Women,1237,102,119,242,89,394,410,132,246,459,146,10
13592,Jennifer Hunter,I-Women,1243,103,116,387,90,159,388,248,249,253,118,196
11218,Jaime Gold,I-Women,1252,104,111,833,93,73,417,114,251,173,129,59
47056,Stacey Kroon,I-Women,1265,105,111,833,91,114,397,187,256,51,126,80
6442,Adrienne Briggs,I-Women,1269,106,121,165,87,465,406,141,248,320,119,178
35152,Jackie Perez,I-Women,1272,107,117,328,88,426,377,350,255,69,124,99
12247,Alicia Staton,I-Women,1291,108,116,387,90,159,433,59,249,253,111,433
16581,Denae Brown,I-Women,1293,109,135,8,76,1224,472,16,264,4,133,41
7041,Marissa Luchau,I-Women,1301,110,113,608,90,159,425,85,249,253,118,196
27975,Chyna Cho,I-Women,1307,111,112,702,90,159,385,279,259,18,120,149
56839,JoEllyn McAtee,I-Women,1318,112,113,608,96,35,399,177,253,105,112,393
25991,Renee Martin,I-Women,1319,113,125,73,81,823,399,177,251,173,127,73
4315,Julie Adams,I-Women,1345,114,116,387,89,394,386,275,250,209,126,80
15537,Lisa Ryan,I-Women,1372,115,125,73,85,570,405,146,247,405,119,178
13439,Leah Polaski,I-Women,1382,116,112,702,91,114,385,279,252,138,120,149
49217,Penny Kemp,I-Women,1383,117,132,29,79,970,382,310,256,51,138,23
7494,Andrea Kwiatkowski,I-Women,1383,117,113,608,90,159,393,210,252,138,115,268
2473,Katie Schmitz,I-Women,1388,119,125,73,95,44,350,695,254,88,110,488
31239,Mandy Malloy,I-Women,1396,120,113,608,89,394,418,110,254,88,118,196
3806,Christina Sloyer,I-Women,1410,121,121,165,83,680,437,54,250,209,114,302
29685,Claire Fernandez,I-Women,1446,122,112,702,90,159,375,367,255,69,120,149
11895,Grace Skocik,I-Women,1453,123,119,242,85,570,393,210,249,253,119,178
45491,Jennifer Smith,I-Women,1461,124,120,198,88,426,378,343,249,253,116,241
9440,Anna Tunnicliffe,I-Women,1477,125,126,64,89,394,390,233,244,651,121,135
21686,Elma Ducic,I-Women,1491,126,115,467,90,159,432,61,246,459,113,345
12492,jenn harris,I-Women,1495,127,118,279,90,159,376,358,251,173,109,526
22982,Emily Carothers,I-Women,1498,128,128,43,89,394,375,367,245,545,120,149
57509,Tanya Wagner,I-Women,1513,129,110,963,94,58,392,219,252,138,121,135
20084,Kyla Evers,I-Women,1516,130,110,963,98,19,386,275,252,138,122,121
26980,Pip Malone,I-Women,1522,131,113,608,91,114,433,59,245,545,118,196
50940,Krista Colson,I-Women,1529,132,109,1129,98,19,389,239,255,69,127,73
12348,Karen McCadam,I-Women,1536,133,118,279,87,465,396,191,247,405,118,196
15601,Erin Cunningham,I-Women,1546,134,114,540,89,394,381,321,255,69,117,222
1696,Shelby Walkinshaw,I-Women,1547,135,116,387,86,511,423,88,248,320,116,241
